id,name,lat,lon,nameplate,generation,fuel,
5242,Grand Coulee,47.9564,-118.9802,6809,18351775,HYDRO,
1309,Martin,27.0536,-80.5628,4318,14876060,GAS,
276,Palo Verde,33.3881,-112.8617,4209,31199935,NUCLEAR,
4950,W A Parish,29.4828,-95.6311,4008,17492354,COAL,
1453,Scherer,33.0583,-83.8072,3564,23099340,COAL,
1367,Turkey Point,25.4356,-80.3308,3562,18009900,NUCLEAR,
1388,Bowen,34.1256,-84.9192,3540,23180981,COAL,
128,Browns Ferry,34.7042,-87.1189,3494,24771137,NUCLEAR,
2026,Gibson,38.3722,-87.7661,3340,20227897,COAL,
1268,Crystal River,28.9594,-82.7003,3333,12148450,COAL,
2659,Monroe,41.8917,-83.3461,3293,18909392,COAL,
1373,West County Energy Center,26.6986,-80.3747,3140,13753208,GAS,
1307,Manatee,27.6058,-82.3456,2951,8832490,GAS,
5511,John E Amos,38.4731,-81.8233,2933,15382366,COAL,
4627,Johnsonville,36.0278,-87.9861,2911,6418456,COAL,
5033,Bath County,38.2088,-79.8002,2862,0,HYDRO,
125,Barry,31.0069,-88.0103,2842,15188887,COAL,
1279,Fort Myers,26.6967,-81.7831,2828,9086837,GAS,
156,James H Miller Jr,33.6319,-87.0597,2822,20621635,COAL,
502,Dynegy Moss Landing Power Plant,36.8042,-121.7775,2802,3546345,GAS,
4352,FirstEnergy Bruce Mansfield,40.6344,-80.42,2741,18066936,COAL,
4905,South Texas Project,28.795,-96.0481,2709,21126781,NUCLEAR,
4540,Oconee,34.7939,-82.8986,2667,20943025,NUCLEAR,
2417,Chalk Point LLC,38.5444,-76.6861,2647,4918749,COAL,
3926,Ravenswood,40.7585,-73.9451,2625,3533031,GAS,
2060,Rockport,37.9256,-87.0372,2600,17631746,COAL,
4050,General James M Gavin,38.9347,-82.1158,2600,18885659,COAL,
4617,Cumberland,36.3903,-87.6539,2600,14062935,COAL,
4441,PPL Susquehanna,41.0909,-76.1489,2596,18515579,NUCLEAR,
2224,Trimble County,38.5847,-85.4117,2594,4658566,COAL,
2216,Paradise,37.2608,-86.9783,2558,14208545,COAL,
3288,Roxboro,36.4833,-79.0731,2558,15979266,COAL,
1340,Sanford,28.8419,-81.3256,2534,10649197,GAS,
258,Gila River Power Station,32.9761,-112.694,2476,5884547,GAS,
4045,FirstEnergy W H Sammis,40.5308,-80.6311,2468,12339075,COAL,
5217,Chief Joseph,47.9951,-119.6404,2456,9115556,HYDRO,
4059,J M Stuart,38.6361,-83.6939,2452,13460466,COAL,
1827,Braidwood Generation Station,41.2435,-88.2286,2450,19199935,NUCLEAR,
1833,Byron Generating Station,42.0742,-89.2819,2450,19855712,NUCLEAR,
4643,Sequoyah,35.2267,-85.0917,2441,18000764,NUCLEAR,
3255,McGuire,35.4331,-80.9486,2441,18850426,NUCLEAR,
2918,Sherburne County,45.3792,-93.8958,2431,13458461,COAL,
4707,Comanche Peak,32.2983,-97.7855,2430,20208467,NUCLEAR,
3932,Robert Moses Niagara,43.1427,-79.0394,2429,13613142,HYDRO,
234,Union Power Partners LP,33.2961,-92.5933,2428,6376869,GAS,
4498,Catawba,35.0514,-81.0694,2410,18964079,NUCLEAR,
272,Navajo,36.9047,-111.3886,2409,16429593,COAL,
4507,Cross,33.3692,-80.1119,2390,14660231,COAL,
3025,Labadie,38.5583,-90.8361,2389,18379983,COAL,
3574,PSEG Salem Generating Station,39.4625,-75.5333,2382,18731799,NUCLEAR,
4816,Martin Lake,32.2597,-94.5703,2380,17666607,COAL,
2370,Mystic Generating Station,42.3917,-71.0667,2376,9296280,GAS,
1912,LaSalle Generating Station,41.2438,-88.6682,2340,19132568,NUCLEAR,
472,Diablo Canyon,35.2113,-120.8548,2323,18429925,NUCLEAR,
1476,Vogtle,33.1419,-81.7565,2320,19610477,NUCLEAR,
4419,Peach Bottom,39.7567,-76.2636,2319,18759381,NUCLEAR,
5554,Jim Bridger,41.7378,-108.7875,2318,14828906,COAL,
1285,H L Culbreath Bayside Power Station,27.9072,-82.4231,2294,8345304,GAS,
2587,Donald C Cook,41.9739,-86.5555,2285,15646055,NUCLEAR,
3279,Richmond,34.8422,-79.7444,2282,4739332,GAS,
4391,Limerick,40.2257,-75.5866,2277,18926074,NUCLEAR,
3137,Colstrip,45.8831,-106.614,2272,16211861,COAL,
3607,Four Corners,36.69,-108.4814,2270,13904804,COAL,
1290,Hines Energy Complex,27.7886,-81.8694,2263,12945813,GAS,
885,San Onofre Nuclear Generating Station,33.3687,-117.5551,2254,13770832,NUCLEAR,
3128,Victor J Daniel Jr,30.5335,-88.5574,2229,10550234,GAS,
2197,Ghent,38.7497,-85.035,2226,12596372,COAL,
2057,R M Schahfer,41.2175,-87.0239,2201,9594676,COAL,
2303,Willow Glen,30.2743,-91.1164,2178,591421,GAS,
1201,Millstone,41.3107,-72.1677,2163,16750304,NUCLEAR,
3179,Belews Creek,36.2811,-80.0603,2160,14711130,COAL,
2128,Jeffrey Energy Center,39.2825,-96.1153,2160,13462980,COAL,
4238,John Day,45.6137,-121.1336,2160,7655722,HYDRO,
1998,AES Petersburg,38.5267,-87.2525,2155,11815919,COAL,
2275,Nine Mile Point,29.9472,-90.1458,2142,4780621,GAS,
5503,FirstEnergy Harrison Power Station,39.3844,-80.3325,2052,12584307,COAL,
4878,Sabine,30.0242,-93.875,2051,4493053,GAS,
135,E C Gaston,33.2442,-86.4567,2034,9593170,COAL,
1855,Dresden Generating Station,41.39,-88.27,2019,14593123,NUCLEAR,
1949,Quad Cities Generating Station,41.7263,-90.3087,2019,14796251,NUCLEAR,
4373,Homer City Station,40.511,-79.1968,2012,11007266,COAL,
3184,Brunswick,33.9597,-78.0114,2003,14808488,NUCLEAR,
3253,Marshall,35.5975,-80.9658,1996,12775577,COAL,
147,H Allen Franklin Combined Cycle,32.6094,-85.0961,1996,7713188,GAS,
4823,Monticello,33.0917,-95.0417,1980,13447287,COAL,
2645,Ludington,43.8942,-86.4447,1979,0,HYDRO,
1326,P L Bartow,27.8613,-82.6012,1970,7034843,GAS,
186,Widows Creek,34.8825,-85.7547,1969,5702492,COAL,
5105,North Anna,38.06,-77.7897,1960,13399462,NUCLEAR,
1480,Wansley,33.4124,-85.0345,1957,9017556,COAL,
4161,Northeastern,36.4317,-95.7008,1951,9764925,COAL,
2581,Dan E Karn,43.6425,-83.8431,1946,2908623,COAL,
5112,Possum Point,38.5367,-77.2806,1944,3828931,GAS,
303,AES Alamitos LLC,33.7688,-118.1009,1922,881390,GAS,
4622,Gallatin,36.3156,-86.4006,1918,6841891,COAL,
3891,Nine Mile Point Nuclear Station,43.5211,-76.41,1901,14239053,NUCLEAR,
1821,Baldwin Energy Complex,38.205,-89.855,1894,12712781,COAL,
4027,Conesville,40.1842,-81.8811,1891,6460269,COAL,
4158,Muskogee,35.7617,-95.2847,1889,8197339,COAL,
1253,Big Bend,27.7944,-82.4036,1885,9044806,COAL,
4382,Keystone,40.6604,-79.3411,1884,13552467,COAL,
4332,Conemaugh,40.3842,-79.0611,1883,12162111,COAL,
4024,Cardinal,40.2522,-80.6486,1880,10057631,COAL,
2234,Big Cajun 2,30.7261,-91.3669,1871,12714882,COAL,
4804,Limestone,31.4219,-96.2525,1867,12767100,COAL,
1305,Lauderdale,26.0681,-80.1983,1863,4472051,GAS,
2656,Midland Cogeneration Venture,43.5861,-84.2242,1854,3508082,GAS,
3625,San Juan,36.8006,-108.4386,1848,10133416,COAL,
4317,Beaver Valley,40.6219,-80.4336,1847,14993564,NUCLEAR,
189,Arkansas Nuclear One,35.311,-93.2351,1845,15022678,NUCLEAR,
2416,Calvert Cliffs Nuclear Power Plant,38.4344,-76.4417,1829,13993948,NUCLEAR,
131,Colbert,34.7439,-87.8486,1826,6038931,COAL,
4288,The Dalles,45.614,-121.1346,1820,5608035,HYDRO,
3909,Oswego Harbor Power,43.46,-76.53,1804,64710,OIL,
5046,Chesterfield,37.3822,-77.3833,1800,8824678,COAL,
4840,Oak Grove,31.185,-96.4853,1795,3920997,COAL,
4432,PPL Martins Creek,40.796,-75.107,1790,826390,GAS,
1945,Powerton,40.5408,-89.6786,1786,9013199,COAL,
4757,Forney Energy Center,32.7563,-96.4916,1784,6560628,GAS,
5303,Transalta Centralia Generation,46.7559,-122.8578,1782,8759401,COAL,
1700,Walter Scott Jr Energy Center,41.18,-95.8408,1779,12095620,COAL,
159,Joseph M Farley,31.2231,-85.1116,1776,13169684,NUCLEAR,
286,Springerville,34.3186,-109.1636,1759,11129391,COAL,
3247,Lincoln Combustion,35.4317,-81.0347,1754,72681,GAS,
597,Haynes,33.7639,-118.0942,1750,4389873,GAS,
2223,Shawnee,37.1517,-88.775,1750,7836111,COAL,
1411,Harllee Branch,33.1942,-83.2994,1746,5707361,COAL,
2194,E W Brown,37.7889,-84.7139,1738,3131949,COAL,
4821,Midlothian Energy Facility,32.4302,-97.0537,1734,3012329,GAS,
