id,name,lat,lon,nameplate,generation,fuel,doeid,age,capacityfactor,co2emissions,co2emissionsRate
124,Bankhead Dam,33.2146,-87.5882,45,100981,HYDRO,2,52,0.163,1262.74,1358.51
125,Barry,31.0069,-88.0103,2842,15188887,COAL,3,36.3,0.061,39074.53,1409.92
181,Walter Bouldin Dam,32.6184,-86.2567,225,434527,HYDRO,4,48,0.147,1340.74,1390.81
138,Gadsden,34.0128,-85.9708,138,229660,COAL,7,66,0.283,2361.10,1732.92
144,Gorgas,33.6446,-87.2003,1417,6875509,COAL,8,50.6,0.755,0.00,0.00
4708,Copper,31.7569,-106.375,81,14522,GAS,9,35,0.001,450.46,2689.30
145,Greene County,32.6017,-87.7811,1288,2783910,COAL,10,32.8,0.804,347748.18,3406.02
148,H Neely Henry Dam,33.7845,-86.0524,73,176953,HYDRO,11,49,0.28,24766.44,994.58
152,Holt Dam,33.2553,-87.4495,40,128109,HYDRO,12,47,0.866,0.00,0.00
158,Jordan Dam,32.6189,-86.2548,100,327599,HYDRO,13,86,0.683,1374006.18,1226.27
163,Logan Martin Dam,33.4258,-86.338,128,306988,HYDRO,14,51,0.037,27010.70,2200.02
160,Lay Dam,32.9633,-86.5187,177,482545,HYDRO,15,47.7,0.38,29155.45,1390.81
164,Martin Dam,32.6797,-85.9125,211,397804,HYDRO,16,80.9,0.528,0.00,0.00
169,Mitchell Dam,32.8049,-86.4456,170,411104,HYDRO,17,34.2,0.953,0.00,0.00
162,Lewis Smith Dam,33.9406,-87.1077,157,214662,HYDRO,18,53.5,0.316,0.00,0.00
179,Thurlow Dam,32.5349,-85.8896,91,223951,HYDRO,19,84,0,35.26,-298.82
183,Weiss Dam,34.1722,-85.7537,88,193703,HYDRO,20,53.7,0.357,0.00,0.00
188,Yates Dam,32.5743,-85.8901,51,149429,HYDRO,21,87,0.267,0.00,0.00
135,E C Gaston,33.2442,-86.4567,2034,9593170,COAL,26,48,0,72.49,-1725.85
2856,Madelia,44.0525,-94.4153,12,0,OIL,30,39.4,0,265.56,40855.70
853,Rollins,39.1336,-120.9519,12,68535,HYDRO,34,35,0.317,14703.35,1536.16
168,Millers Ferry,32.1009,-87.3969,101,302175,HYDRO,38,45,0.149,21447.94,1517.36
128,Browns Ferry,34.7042,-87.1189,3494,24771137,NUCLEAR,46,39.6,0.237,42667.88,1225.26
131,Colbert,34.7439,-87.8486,1826,6038931,COAL,47,52.6,0.191,0.00,0.00
146,Guntersville,34.4211,-86.3931,115,645316,HYDRO,48,72.8,0.081,872.08,1534.01
185,Wheeler Dam,34.8069,-87.3819,404,1096591,HYDRO,49,65.4,0.162,2118.60,1358.51
186,Widows Creek,34.8825,-85.7547,1969,5702492,COAL,50,56.4,0.028,19786.23,3835.28
2246,Dolet Hills,32.0306,-93.5692,721,4694520,COAL,51,29,0.026,239.63,1624.59
139,Gantt,31.4,-86.4753,3,6509,HYDRO,53,53.6,0.006,414.74,1634.00
2204,J K Smith,37.8824,-84.1025,1055,420912,GAS,54,12.4,0.138,4187.72,1390.81
172,Point A,31.3614,-86.5183,5,15022,HYDRO,55,80.8,0.111,1051.65,1350.86
130,Charles R Lowman,31.4858,-87.9106,538,3176973,COAL,56,37.2,0.449,652654.33,1245.03
3421,Platte,40.8538,-98.3481,110,563562,COAL,59,33,0.057,5310.67,1990.51
3440,Whelan Energy Center,40.5806,-98.3106,324,474439,COAL,60,11.1,0.448,0.00,0.00
5,Annex Creek,58.3167,-134.0958,4,26436,HYDRO,62,100,0.054,19.96,8.78
35,Gold Creek,58.3,-134.4061,10,4547,HYDRO,63,60.1,0.357,0.00,0.00
57,Lemon Creek,58.3514,-134.4986,62,0,OIL,64,34.1,0.14,1876.20,1390.81
84,Salmon Creek 1,58.3261,-134.4625,9,24201,HYDRO,65,31,0,57.10,-505.35
93,Skagway,59.4583,-135.3139,4,3518,HYDRO,66,25.4,0.703,202185.81,2130.68
38,Haines,59.2358,-135.445,6,0,OIL,69,23.1,0.217,3739.79,1639.54
101,Swan Lake,55.3633,-131.6778,22,91977,HYDRO,70,31,0.186,2030.02,1557.36
102,Terror Lake,57.7911,-152.4058,22,123964,HYDRO,71,31,0,26.34,-4052.84
1008,Venice,34.0114,-118.4167,10,8671,HYDRO,72,33,0.003,2606.37,4015.99
2,Anchorage 1,61.2328,-149.8909,103,55428,GAS,75,29.3,0,777.13,-9196.84
24,Eklutna Hydro Project,61.605,-149.1192,44,74203,HYDRO,77,60,0.109,1663.40,1390.81
95,Snettisham,58.1389,-133.7264,78,285665,HYDRO,78,35.3,0.277,0.00,0.00
7,Aurora Energy LLC Chena,64.8461,-147.7286,29,204196,COAL,79,46.3,0.156,1581.71,1450.44
48,Ketchikan,55.3633,-131.6778,4,23338,HYDRO,84,67,0.634,0.00,0.00
83,S W Bailey,55.3633,-131.6778,26,0,OIL,85,32.3,0.157,1220.58,1611.33
3605,Escalante,35.4159,-108.082,257,1672279,COAL,87,31,0.197,3064.76,1368.03
3699,Ashokan,41.9484,-74.181,5,7275,HYDRO,88,33,0.125,823.10,1369.55
94,Snake River,64.5033,-165.4357,21,33796,OIL,90,16.1,0.05,8037.22,1645.96
76,Petersburg,56.5583,-133.2544,12,11513,HYDRO,91,34.7,0.159,1218.43,1253.52
89,Seward,60.1083,-149.4417,19,678,OIL,92,20.3,0.162,14435.17,1390.74
14,Blue Lake,57.0516,-135.2297,7,58422,HYDRO,93,54,0.142,928.54,1358.51
118,Wrangell,56.4522,-132.3683,10,309,OIL,95,18.4,0.469,0.00,0.00
10,Beluga,61.1861,-151.0356,374,2240960,GAS,96,39.1,0,252.88,-1341.54
5235,Frederickson,47.0864,-122.3657,178,10659,GAS,99,34,0.098,1902.62,1390.81
284,South Consolidated,33.4672,-111.7789,1,2085,HYDRO,100,34,0.188,2382.35,1698.65
622,J S Eastwood,37.1478,-119.2561,200,228795,HYDRO,104,28,0.242,14567.99,1390.81
2123,Holcomb,37.9306,-100.9725,349,2632936,COAL,108,32,0.031,434.91,2116.37
21,Dillingham,59.6708,-157.89,7,19143,OIL,109,11.9,0.799,131904.68,994.58
248,Cholla,34.9394,-110.3033,1129,7121755,COAL,113,37,0.172,1668.65,1846.88
255,Douglas,31.3467,-109.5556,21,359,OIL,114,43,0.228,1381.21,1382.59
275,Ocotillo,33.4225,-111.9122,334,55777,GAS,116,51,0.328,361473.47,1389.42
293,West Phoenix,33.4417,-112.1583,1207,1719691,GAS,117,23.8,0.13,1107.33,1761.86
281,Saguaro,32.5517,-111.3,436,8741,GAS,118,47.5,0.133,2262.15,1390.81
294,Yucca,32.7214,-114.7097,386,421666,GAS,120,33.9,0.107,2078.56,1390.81
253,Demoss Petrie,32.2511,-110.9889,85,6585,GAS,124,14,0.18,2844.20,1390.81
261,H Wilson Sundt Generating Station,32.16,-110.9047,559,856436,GAS,126,51.7,0.232,3808.03,1390.81
4843,Oklaunion,34.0825,-99.1753,720,3644151,COAL,127,29,0.23,2522.92,1390.81
4507,Cross,33.3692,-80.1119,2390,14660231,COAL,130,16,0.202,3686.33,1390.81
1343,Seminole,29.7333,-81.6339,1429,8929519,COAL,136,30.5,0,479.99,0.00
242,Agua Fria,33.5542,-112.2161,614,18747,GAS,141,50.4,0.088,7853.06,1899.40
251,Crosscut,33.44,-111.9442,33,4056,HYDRO,143,71.7,0.032,790.88,1947.97
265,Horse Mesa,33.5907,-111.344,130,145079,HYDRO,145,53.3,0.107,538.98,93.63
268,Kyrene,33.3544,-111.9364,574,380833,GAS,147,31.1,0.32,0.00,0.00
271,Mormon Flat,33.5536,-111.4431,64,76635,HYDRO,148,50.5,0.162,1354.36,1590.55
280,Roosevelt,33.6702,-111.1618,36,129529,HYDRO,149,42,0,14.40,0.00
287,Stewart Mountain,33.5661,-111.536,13,37391,HYDRO,150,85,0.335,0.00,0.00
693,McClure,37.6525,-121.0197,142,4585,GAS,151,34.5,0.475,0.00,0.00
252,Davis Dam,35.1967,-114.5698,255,1129158,HYDRO,152,64,0.169,1373.70,1684.48
259,Glen Canyon Dam,36.9373,-111.4838,1312,3671552,HYDRO,153,50.1,0,1237.98,-5539.06
3653,Hoover Dam,36.0139,-114.7389,1039,2097079,HYDRO,154,74.3,0.325,0.00,0.00
4993,Lake Creek,40.5003,-111.4047,2,3955,HYDRO,159,34,0.119,1202.96,1358.51
243,Apache Station,32.0619,-109.8931,661,2187396,COAL,160,36.7,0.147,1134.36,1358.51
992,Turlock Lake,37.6114,-120.5953,3,9998,HYDRO,161,35,0.194,2016.43,1485.95
605,Hickman,37.6219,-120.7461,1,4358,HYDRO,162,36,0.01,130.82,1295.22
4143,GRDA,36.1906,-95.2889,1010,6263463,COAL,165,31.9,0.004,596.08,1758.36
195,Carpenter,34.4425,-93.0262,56,111812,HYDRO,166,85,0.131,1695.50,2115.41
196,Cecil Lynch,34.7535,-92.1987,231,45548,GAS,167,62.2,0.144,1031.11,1358.51
211,Harvey Couch,33.3592,-93.4649,183,68743,GAS,169,62.6,0.618,0.00,0.00
